type	value	source	score	tags
ip	107.150.127.124	Boletines	50	malware_ip
ip	107.150.127.140	Boletines	50	malware_ip
ip	107.151.144.72	Boletines	50	malware_ip
ip	107.152.35.77	Boletines	50	malware_ip
ip	107.155.50.198	Boletines	50	malware_ip
ip	107.161.183.116	Boletines	50	malware_ip
ip	107.167.64.4	Boletines	50	malware_ip
ip	107.170.39.149	Boletines	50	malware_ip
ip	107.172.100.226	Boletines	50	malware_ip
ip	107.172.100.248	Boletines	50	malware_ip
ip	107.172.248.138	Boletines	50	malware_ip
ip	107.172.30.215	Boletines	50	malware_ip
ip	107.172.75.164	Boletines	50	malware_ip
ip	107.172.90.18	Boletines	50	malware_ip
ip	107.173.231.114	Boletines	50	malware_ip
ip	107.174.218.155	Boletines	50	malware_ip
ip	107.174.76.235	Boletines	50	malware_ip
ip	107.181.160.197	Boletines	50	malware_ip
ip	107.181.174.248	Boletines	50	malware_ip
ip	107.187.122.10	Boletines	50	malware_ip
ip	107.189.11.124	Boletines	50	malware_ip
ip	107.189.3.150	Boletines	50	malware_ip
ip	107.189.8.58	Boletines	50	malware_ip
ip	107.191.53.95	Boletines	50	malware_ip
ip	108.13.189.138	Boletines	50	malware_ip
ip	108.167.165.51	Boletines	50	malware_ip
ip	108.170.31.47	Boletines	50	malware_ip
ip	108.170.54.171	Boletines	50	malware_ip
ip	108.171.192.251	Maltiverse	60	malware_ip
ip	108.171.64.202	Boletines	50	malware_ip
ip	108.178.29.162	Boletines	50	malware_ip
ip	108.181.162.131	Maltiverse	60	malware_ip
ip	108.190.151.108	Boletines	50	malware_ip
ip	108.227.161.27	Boletines	50	malware_ip
ip	108.29.32.102	Boletines	50	malware_ip
ip	108.39.93.45	Boletines	50	malware_ip
ip	108.41.227.196	Boletines	50	malware_ip
ip	108.44.207.232	Boletines	50	malware_ip
ip	108.46.145.30	Boletines	50	malware_ip
ip	108.46.29.236	Boletines	50	malware_ip
ip	108.49.221.180	Boletines	50	malware_ip
ip	108.6.249.139	Boletines	50	malware_ip
ip	108.60.213.90	Boletines	50	malware_ip
ip	108.61.119.20	Boletines	50	malware_ip
ip	108.61.148.97	Boletines	50	malware_ip
ip	108.62.141.222	Boletines	50	malware_ip
ip	109.104.79.48	Boletines	50	malware_ip
ip	109.106.69.138	Boletines	50	malware_ip
ip	109.107.181.130	Boletines	50	malware_ip
ip	109.11.175.42	Boletines	50	malware_ip
ip	109.12.111.164	Boletines	50	malware_ip
ip	109.120.214.195	Boletines	50	malware_ip
ip	109.145.27.139	Boletines	50	malware_ip
ip	109.147.65.157	Boletines	50	malware_ip
ip	109.149.147.221	Boletines	50	malware_ip
ip	109.152.70.207	Boletines	50	malware_ip
ip	109.162.185.219	Maltiverse	60	malware_ip
ip	109.162.202.95	Maltiverse	60	malware_ip
ip	109.170.6.150	Boletines	50	malware_ip
ip	109.178.178.110	Boletines	50	malware_ip
ip	109.182.42.206	Boletines	50	malware_ip
ip	109.190.93.219	Boletines	50	malware_ip
ip	109.196.164.79	Boletines	50	malware_ip
ip	109.200.159.45	Boletines	50	malware_ip
ip	109.202.107.15	Boletines	50	malware_ip
ip	109.207.35.200	Maltiverse	60	malware_ip
ip	109.218.233.44	Boletines	50	malware_ip
ip	109.230.199.203	Boletines	50	malware_ip
ip	109.230.199.99	Boletines	50	malware_ip
ip	109.234.36.216	Boletines	50	malware_ip
ip	109.234.37.201	Boletines	50	malware_ip
ip	109.234.38.232	Boletines	50	malware_ip
ip	109.235.139.13	Boletines	50	malware_ip
ip	109.236.82.28	Boletines	50	malware_ip
ip	109.236.82.58	Boletines	50	malware_ip
ip	109.236.83.166	Boletines	50	malware_ip
ip	109.236.91.239	Boletines	50	malware_ip
ip	109.248.149.137	Boletines	50	malware_ip
ip	109.74.154.92	Boletines	50	malware_ip
ip	109.75.64.100	Boletines	50	malware_ip
ip	109.86.227.152	Boletines	50	malware_ip
ip	109.95.110.3	Boletines	50	malware_ip
ip	109.95.116.37	Boletines	50	malware_ip
ip	1.09163E+11	Boletines	50	malware_ip
ip	1.09178E+11	Boletines	50	malware_ip
ip	1.09228E+11	Boletines	50	malware_ip
ip	1.09228E+11	Boletines	50	malware_ip
ip	110.10.189.167	Boletines	50	malware_ip
ip	110.142.205.182	Boletines	50	malware_ip
ip	110.166.214.248	Maltiverse	60	malware_ip
ip	110.177.80.191	Maltiverse	60	malware_ip
ip	110.182.230.92	Maltiverse	60	malware_ip
ip	110.183.19.128	Maltiverse	60	malware_ip
ip	110.183.48.15	Maltiverse	60	malware_ip
ip	110.238.39.214	Boletines	50	malware_ip
ip	110.86.161.230	Maltiverse	60	malware_ip
ip	111.118.180.60	Boletines	50	malware_ip
ip	111.59.140.247	Boletines	50	malware_ip
ip	111.90.139.122	Boletines	50	malware_ip
ip	1.11125E+11	Boletines	50	malware_ip
ip	112.113.254.211	Maltiverse	60	malware_ip
ip	112.141.184.246	Boletines	50	malware_ip
ip	112.15.74.137	Boletines	50	malware_ip
ip	112.198.128.166	Maltiverse	60	malware_ip
ip	112.226.103.193	Maltiverse	60	malware_ip
ip	112.237.78.39	Maltiverse	60	malware_ip
ip	112.238.56.104	Maltiverse	60	malware_ip
ip	112.239.100.239	Maltiverse	60	malware_ip
ip	112.239.113.69	Maltiverse	60	malware_ip
ip	112.239.121.192	Maltiverse	60	malware_ip
ip	112.239.123.246	Maltiverse	60	malware_ip
ip	112.239.97.43	Maltiverse	60	malware_ip
ip	112.239.99.156	Maltiverse	60	malware_ip
ip	112.240.251.126	Maltiverse	60	malware_ip
ip	112.240.254.40	Maltiverse	60	malware_ip
ip	112.242.59.229	Maltiverse	60	malware_ip
ip	112.242.80.11	Maltiverse	60	malware_ip
ip	112.242.96.201	Maltiverse	60	malware_ip
ip	112.247.83.73	Maltiverse	60	malware_ip
ip	112.248.101.22	Maltiverse	60	malware_ip
ip	112.248.109.74	Maltiverse	60	malware_ip
ip	112.248.110.87	Maltiverse	60	malware_ip
ip	112.248.112.212	Maltiverse	60	malware_ip
ip	112.248.155.29	Maltiverse	60	malware_ip
ip	112.248.162.0	Maltiverse	60	malware_ip
ip	112.248.247.162	Maltiverse	60	malware_ip
ip	112.248.28.143	Maltiverse	60	malware_ip
ip	112.248.81.13	Maltiverse	60	malware_ip
ip	112.249.116.35	Maltiverse	60	malware_ip
ip	112.249.66.107	Maltiverse	60	malware_ip
ip	112.252.199.195	Maltiverse	60	malware_ip
ip	112.27.199.101	Maltiverse	60	malware_ip
ip	112.31.218.39	Boletines	50	malware_ip
ip	112.5.86.45	Boletines	50	malware_ip
ip	112.6.40.5	Boletines	50	malware_ip
ip	112.80.41.16	Boletines	50	malware_ip
ip	112.93.137.127	Maltiverse	60	malware_ip
ip	112.93.173.99	Maltiverse	60	malware_ip
ip	112.97.56.78	Boletines	50	malware_ip
ip	113.105.92.174	Boletines	50	malware_ip
ip	113.118.232.117	Maltiverse	60	malware_ip
ip	113.121.70.243	Maltiverse	60	malware_ip
ip	113.121.70.95	Maltiverse	60	malware_ip
ip	113.121.92.53	Maltiverse	60	malware_ip
ip	113.121.95.14	Maltiverse	60	malware_ip
ip	113.169.217.38	Maltiverse	60	malware_ip
ip	113.169.57.104	Boletines	50	malware_ip
ip	113.170.223.53	Boletines	50	malware_ip
ip	113.189.102.238	Maltiverse	60	malware_ip
ip	113.189.105.82	Maltiverse	60	malware_ip
ip	113.22.166.37	Maltiverse	60	malware_ip
ip	113.221.15.232	Maltiverse	60	malware_ip
ip	113.221.9.21	Maltiverse	60	malware_ip
ip	113.221.97.48	Maltiverse	60	malware_ip
ip	113.228.138.163	Maltiverse	60	malware_ip
ip	113.228.158.27	Maltiverse	60	malware_ip
ip	113.229.118.194	Maltiverse	60	malware_ip
ip	113.229.161.35	Maltiverse	60	malware_ip
ip	113.229.178.27	Maltiverse	60	malware_ip
ip	113.229.53.158	Maltiverse	60	malware_ip
ip	113.230.235.197	Maltiverse	60	malware_ip
ip	113.230.237.7	Boletines	50	malware_ip
ip	113.230.80.172	Maltiverse	60	malware_ip
ip	113.236.120.168	Maltiverse	60	malware_ip
ip	113.236.153.248	Maltiverse	60	malware_ip
ip	113.237.149.98	Maltiverse	60	malware_ip
ip	113.237.74.98	Maltiverse	60	malware_ip
ip	113.238.106.186	Maltiverse	60	malware_ip
ip	113.238.197.53	Maltiverse	60	malware_ip
ip	113.238.75.74	Maltiverse	60	malware_ip
ip	113.238.76.73	Maltiverse	60	malware_ip
ip	113.238.77.200	Maltiverse	60	malware_ip
ip	113.239.152.30	Maltiverse	60	malware_ip
ip	113.25.131.122	Maltiverse	60	malware_ip
ip	113.26.152.178	Maltiverse	60	malware_ip
ip	113.26.169.65	Maltiverse	60	malware_ip
ip	113.26.54.162	Maltiverse	60	malware_ip
ip	113.26.88.145	Maltiverse	60	malware_ip
ip	113.27.31.138	Maltiverse	60	malware_ip
ip	113.53.152.11	Boletines	50	malware_ip
ip	113.53.59.10	Boletines	50	malware_ip
